E_on,E_off,E_dt,Vds_pk_off,ov_pct_off,E_sw,E_tot,Vds_pk,ov_pct,t_set,E_osc,Vgs_spur,Vgs_spur_hs,Vgs_spur_ls,margin,false_on,case,corner,NPU_LS,NPD_LS,NPD_HS,DT,CLKEN,VNEG
6.3118711899491335e-06,6.089214770642067e-07,1.3950936768126543e-06,125.896852,25.896851999999996,6.92079266701334e-06,8.315886343825996e-06,125.896852,25.896851999999996,4.540497000000005e-08,37.55218253287881,1.627835200000007,1.627835200000007,-1.91364727,-0.227835200000007,1,nominal,100V_10A_25C,1,8,1,25n,0,-2
5.274905321167594e-06,6.370193071966e-07,5.634462656555601e-07,122.155733,22.155733,5.911924628364195e-06,6.475370894019755e-06,122.155733,22.155733,4.2952090000000114e-08,42.619317074977424,0.44774270000000627,0.44774270000000627,0.0405197054,0.9522572999999936,0,nominal,100V_10A_25C,1,8,1,25n,1,0
6.608838154047555e-06,6.12026232358081e-07,1.407207795745304e-06,123.520976,23.520976000000005,7.220864386405636e-06,8.62807218215094e-06,123.520976,23.520976000000005,4.5511240000000146e-08,36.372049628297276,-1.5745476000000007,-1.5745476000000007,-1.96135591,2.9745476000000006,0,nominal,100V_10A_25C,1,8,1,25n,1,-2
8.57824751097445e-06,6.300829649968362e-07,1.1382305208170896e-06,123.521334,23.521333999999996,9.208330475971286e-06,1.0346560996788376e-05,123.521334,23.521333999999996,5.240506000000006e-08,44.0079891951555,3.058792699999998,3.058792699999998,0.0632083036,-1.658792699999998,1,nominal,100V_10A_25C,1,8,1,35n,0,0
6.30911532906071e-06,6.09403988710133e-07,2.3681237844759158e-06,125.896852,25.896851999999996,6.918519317770843e-06,9.286643102246758e-06,125.896852,25.896851999999996,4.5404960000000016e-08,37.39279956296529,1.6270159999999976,1.6270159999999976,-1.94602426,-0.22701599999999766,1,nominal,100V_10A_25C,1,8,1,35n,0,-2
5.258418484200741e-06,6.365885936549557e-07,1.127602470302724e-06,122.155733,22.155733,5.895007077855697e-06,7.022609548158421e-06,122.155733,22.155733,4.282084000000004e-08,42.43169505998999,0.44238670000000013,0.44238670000000013,0.0221368804,0.9576132999999998,0,nominal,100V_10A_25C,1,8,1,35n,1,0
6.601344640621489e-06,6.130485817402073e-07,2.3806017559261715e-06,123.520976,23.520976000000005,7.214393222361697e-06,9.594994978287867e-06,123.520976,23.520976000000005,4.585529000000008e-08,36.15118251385793,-1.574543799999999,-1.574543799999999,-1.97434472,2.974543799999999,0,nominal,100V_10A_25C,1,8,1,35n,1,-2
5.122630162333335e-06,6.34274350251462e-07,5.637554918540742e-07,122.526614,22.526613999999995,5.756904512584797e-06,6.320660004438871e-06,122.526614,22.526613999999995,4.605577999999997e-08,43.501001483413376,1.5800998999999933,1.5800998999999933,0.162205819,-0.18009989999999343,1,nominal,100V_10A_25C,1,8,4,15n,0,0
6.240349690197661e-06,6.095310834711441e-07,5.896061970314617e-07,123.994197,23.994197,6.849880773668805e-06,7.439486970700267e-06,123.994197,23.994197,4.5458829999999976e-08,37.28817931811887,-0.7023807000000062,-0.7023807000000062,-1.85651824,2.102380700000006,0,nominal,100V_10A_25C,1,8,4,15n,0,-2
5.268027122370487e-06,6.367158969094111e-07,5.994826023801856e-07,122.13346,22.13346,5.9047430192798985e-06,6.504225621660084e-06,122.13346,22.13346,4.297267000000002e-08,42.91733441771413,0.37314709999999707,0.37314709999999707,0.0721067284,1.0268529000000028,0,nominal,100V_10A_25C,1,8,4,15n,1,0
6.640961683257719e-06,6.115034270084132e-07,6.131030415646309e-07,123.502839,23.502838999999994,7.252465110266132e-06,7.865568151830763e-06,123.502839,23.502838999999994,4.2325000000000056e-08,36.84395921605595,-1.6240581599999997,-1.6240581599999997,-1.93068247,3.0240581599999996,0,nominal,100V_10A_25C,1,8,4,15n,1,-2
