E_on,E_off,E_dt,E_sw,E_tot,Vds_pk,ov_pct,t_set,E_osc,Vgs_spur,Vgs_spur_hs,Vgs_spur_ls,margin,false_on,VBUS,ILOAD,VDRV,VNEG,NPU_LS,NPD_LS,NPU_HS,NPD_HS,DT,CLKEN,CLKDEL,RUNIT,TJ
7.247963036812271e-06,6.337611490824145e-07,2.034086717188723e-07,7.881724185894686e-06,8.085132857613558e-06,123.52121,23.521209999999996,4.605515000000001e-08,44.48878437469972,3.4637302000000005,3.4637302000000005,0.171761313,-2.0637302000000006,1,100,10,5,0,2,8,8,1,15n,0,4n,8,25
5.19329118373842e-06,6.091280047100736e-07,4.2092989505920516e-07,5.802419188448494e-06,6.223349083507699e-06,125.900408,25.900408,4.545494000000005e-08,37.95863172098031,1.9363566999999904,1.9363566999999904,-1.85308009,-0.5363566999999905,1,100,10,5,-2,2,8,8,1,15n,0,4n,8,25
3.9932882984012125e-06,6.363003942766383e-07,5.657826326220262e-07,4.6295886926778506e-06,5.195371325299877e-06,122.155706,22.155705999999995,4.29250000000001e-08,42.938101769786286,0.5511315999999908,0.5511315999999908,0.0740129103,0.8488684000000091,0,100,10,5,0,2,8,8,1,15n,1,4n,8,25
5.260221849447691e-06,6.112701265415429e-07,5.243093969687741e-07,5.8714919759892335e-06,6.395801372958008e-06,123.521068,23.521068,4.542500000000008e-08,36.88900994828765,-1.485513999999995,-1.485513999999995,-1.92839637,2.885513999999995,0,100,10,5,-2,2,8,8,1,15n,1,4n,8,25
7.192101179231469e-06,6.321041176248717e-07,5.745219860212366e-07,7.824205296856341e-06,8.398727282877578e-06,123.52121,23.521209999999996,4.920511e-08,44.17807091731242,3.4467420999999945,3.4467420999999945,0.103116612,-2.0467420999999946,1,100,10,5,0,2,8,8,1,25n,0,4n,8,25
5.1900339746975215e-06,6.089461873166055e-07,1.3962457373938261e-06,5.798980162014127e-06,7.195225899407953e-06,125.900408,25.900408,4.535496999999994e-08,37.45723129604932,1.9592428999999925,1.9592428999999925,-1.91303437,-0.5592428999999925,1,100,10,5,-2,2,8,8,1,25n,0,4n,8,25
3.9790631303649946e-06,6.369779830739811e-07,5.634768243273857e-07,4.6160411134389756e-06,5.179517937766361e-06,122.155706,22.155705999999995,4.295122999999996e-08,42.618775232363895,0.5307248000000016,0.5307248000000016,0.0405176395,0.8692751999999984,0,100,10,5,0,2,8,8,1,25n,1,4n,8,25
5.2765270840832275e-06,6.120547282462253e-07,1.4072493141778037e-06,5.888581812329453e-06,7.295831126507257e-06,123.521068,23.521068,4.5511240000000146e-08,36.37150861185565,-1.49586494459,-1.49586494459,-1.96135769,2.89586494459,0,100,10,5,-2,2,8,8,1,25n,1,4n,8,25
7.1886713342847656e-06,6.302130797572617e-07,1.138287404437176e-06,7.818884414042027e-06,8.957171818479203e-06,123.52121,23.521209999999996,5.240506000000006e-08,44.007282372139414,3.446729199999993,3.446729199999993,0.0632061462,-2.046729199999993,1,100,10,5,0,2,8,8,1,35n,0,4n,8,25
5.187428126747137e-06,6.094592323817286e-07,2.369290813759194e-06,5.796887359128865e-06,8.166178172888059e-06,125.900408,25.900408,4.535496000000012e-08,37.30005877659218,1.9585323000000017,1.9585323000000017,-1.94570903,-0.5585323000000018,1,100,10,5,-2,2,8,8,1,35n,0,4n,8,25
3.977743844291049e-06,6.365402102442799e-07,1.12764661358473e-06,4.614284054535329e-06,5.741930668120059e-06,122.155706,22.155705999999995,4.282084000000004e-08,42.43106737318526,0.5193172999999973,0.5193172999999973,0.0221372328,0.8806827000000026,0,100,10,5,0,2,8,8,1,35n,1,4n,8,25
5.2720337466685325e-06,6.130771516852787e-07,2.38065943545351e-06,5.885110898353811e-06,8.265770333807322e-06,123.521068,23.521068,4.585529000000008e-08,36.150654720282716,-1.49588603891,-1.49588603891,-1.97434597,2.8958860389099996,0,100,10,5,-2,2,8,8,1,35n,1,4n,8,25
4.003117710458255e-06,6.360411178132777e-07,6.029611954796851e-07,4.639158828271533e-06,5.242120023751218e-06,121.622303,21.622303000000002,4.612500000000013e-08,42.401601954190795,1.7847857999999945,1.7847857999999945,0.409149166,-0.3847857999999946,1,100,10,5,0,2,8,8,4,5n,0,4n,8,25
5.099516161398412e-06,6.106736232224125e-07,6.285624413902702e-07,5.7101897846208245e-06,6.338752226011095e-06,123.504755,23.504755000000003,4.217500000000015e-08,35.157640114869366,-0.5462112000000019,-0.5462112000000019,-1.75246314,1.9462112000000018,0,100,10,5,-2,2,8,8,4,5n,0,4n,8,25
3.95359244542587e-06,6.366838055990374e-07,6.042450768557484e-07,4.590276251024907e-06,5.194521327880656e-06,121.436731,21.436730999999995,4.607500000000002e-08,42.332849198684244,0.4848070999999976,0.4848070999999976,0.167706024,0.9151929000000023,0,100,10,5,0,2,8,8,4,5n,1,4n,8,25
5.2270902808061515e-06,6.112052620115829e-07,6.294338381986671e-07,5.838295542817735e-06,6.467729381016402e-06,123.352257,23.352256999999994,4.222500000000005e-08,35.19026476175472,-1.4973557,-1.4973557,-1.85974995,2.8973557,0,100,10,5,-2,2,8,8,4,5n,1,4n,8,25
3.924992451129087e-06,6.34819514615851e-07,5.656512821999623e-07,4.559811965744938e-06,5.1254632479449005e-06,122.526375,22.526375,4.282160000000004e-08,42.88862606507695,1.7739170999999914,1.7739170999999914,0.207571916,-0.37391709999999145,1,100,10,5,0,2,8,8,4,10n,0,4n,8,25
4.972736952740811e-06,6.092000966849493e-07,5.907547088600968e-07,5.58193704942576e-06,6.172691758285857e-06,123.994172,23.994172000000006,4.5169090000000114e-08,36.60208437667212,-0.6073947000000004,-0.6073947000000004,-1.76818806,2.0073947000000003,0,100,10,5,-2,2,8,8,4,10n,0,4n,8,25
3.981027557062917e-06,6.362938506174272e-07,6.042045977794659e-07,4.6173214076803446e-06,5.22152600545981e-06,122.13343,22.133430000000004,3.967499999999996e-08,42.44369768769056,0.4899510000000049,0.4899510000000049,0.100553352,0.910048999999995,0,100,10,5,0,2,8,8,4,10n,1,4n,8,25
5.24439240219612e-06,6.098736965680618e-07,6.155996537269931e-07,5.854266098764182e-06,6.469865752491175e-06,123.50293,23.502930000000006,4.5125000000000055e-08,36.266570112932115,-1.5208308999999929,-1.5208308999999929,-1.88927356,2.920830899999993,0,100,10,5,-2,2,8,8,4,10n,1,4n,8,25
3.9241001253180725e-06,6.342669726791114e-07,5.637526165799318e-07,4.558367097997184e-06,5.1221197145771155e-06,122.526375,22.526375,4.605577999999997e-08,43.50037894005598,1.7756661000000094,1.7756661000000094,0.162202378,-0.37566610000000944,1,100,10,5,0,2,8,8,4,15n,0,4n,8,25
4.988132505765281e-06,6.095101803118958e-07,5.895987846574291e-07,5.597642686077177e-06,6.187241470734606e-06,123.994172,23.994172000000006,4.5458829999999976e-08,37.287617278978104,-0.6019583000000068,-0.6019583000000068,-1.85652136,2.0019583000000067,0,100,10,5,-2,2,8,8,4,15n,0,4n,8,25
4.0277600954992755e-06,6.366669612317248e-07,5.995854197673992e-07,4.664427056731e-06,5.264012476498399e-06,122.13343,22.133430000000004,4.297267000000002e-08,42.91670840828485,0.41735169999999755,0.41735169999999755,0.0721050953,0.9826483000000024,0,100,10,5,0,2,8,8,4,15n,1,4n,8,25
5.310775445689858e-06,6.115275501799182e-07,6.130962867318424e-07,5.922302995869777e-06,6.5353992826016186e-06,123.50293,23.502930000000006,4.2325000000000056e-08,36.843400303641936,-1.55486087,-1.55486087,-1.93068088,2.95486087,0,100,10,5,-2,2,8,8,4,15n,1,4n,8,25
3.922219110796218e-06,6.330941424624001e-07,6.260288999927422e-07,4.5553132532586186e-06,5.181342153251361e-06,122.526375,22.526375,4.921390000000012e-08,43.229036818312125,1.7757275999999962,1.7757275999999962,0.0978208353,-0.3757275999999963,1,100,10,5,0,2,8,8,4,25n,0,4n,8,25
4.983379234809144e-06,6.093172624343729e-07,1.5262860300372473e-06,5.592696497243516e-06,7.118982527280763e-06,123.994172,23.994172000000006,4.545499000000002e-08,36.8416755711826,-0.6017770999999925,-0.6017770999999925,-1.91790836,2.0017770999999924,0,100,10,5,-2,2,8,8,4,25n,0,4n,8,25
4.007822144565219e-06,6.370637627184581e-07,5.94011788819595e-07,4.644885907283677e-06,5.238897696103272e-06,122.13343,22.133430000000004,3.982500000000008e-08,42.57698419517738,0.4424948999999998,0.4424948999999998,0.0371040903,0.9575051000000001,0,100,10,5,0,2,8,8,4,25n,1,4n,8,25
5.298379336299371e-06,6.124625019214303e-07,1.4922662059098803e-06,5.910841838220801e-06,7.403108044130681e-06,123.50293,23.502930000000006,4.241041000000008e-08,36.30640873403766,-1.5553891898,-1.5553891898,-1.96293443,2.9553891898,0,100,10,5,-2,2,8,8,4,25n,1,4n,8,25
3.920194761648456e-06,6.311917026735927e-07,1.1898905313221955e-06,4.551386464322049e-06,5.741276995644244e-06,122.526375,22.526375,4.929796999999994e-08,43.0469788890214,1.775759199999996,1.775759199999996,0.0609093971,-0.3757591999999961,1,100,10,5,0,2,8,8,4,35n,0,4n,8,25
4.97894835483179e-06,6.096122456064932e-07,2.4994545554270316e-06,5.588560600438283e-06,8.088015155865315e-06,123.994172,23.994172000000006,4.5554950000000097e-08,36.65094331291085,-0.6016761000000059,-0.6016761000000059,-1.95273659,2.001676100000006,0,100,10,5,-2,2,8,8,4,35n,0,4n,8,25
3.999812217069618e-06,6.362762599717722e-07,1.1578749339006882e-06,4.63608847704139e-06,5.7939634109420785e-06,122.13343,22.133430000000004,3.651682000000002e-08,42.39316804683601,0.44681679999999346,0.44681679999999346,0.0175811163,0.9531832000000064,0,100,10,5,0,2,8,8,4,35n,1,4n,8,25
5.2907181720392865e-06,6.13618810676683e-07,2.4655189641409883e-06,5.904336982715969e-06,8.369855946856957e-06,123.50293,23.502930000000006,4.585534000000005e-08,36.08349344589105,-1.5558036591,-1.5558036591,-1.97500176,2.9558036591,0,100,10,5,-2,2,8,8,4,35n,1,4n,8,25
3.882708626612187e-06,6.36013255920608e-07,6.408295690229029e-07,4.518721882532795e-06,5.1595514515556975e-06,121.588653,21.588652999999994,4.612500000000013e-08,42.39733666012802,0.8665917000000007,0.8665917000000007,0.407673128,0.5334082999999992,0,100,10,5,0,2,8,8,8,5n,0,4n,8,25
5.084699894227061e-06,6.107240793236991e-07,6.755061705325807e-07,5.6954239735507605e-06,6.370930144083341e-06,123.436732,23.436732000000006,4.220950000000015e-08,35.1967365282397,-1.1143828000000013,-1.1143828000000013,-1.75573219,2.5143828000000013,0,100,10,5,-2,2,8,8,8,5n,0,4n,8,25
4.0766744418460235e-06,6.36679817555377e-07,6.404696449927509e-07,4.7133542594014e-06,5.353823904394151e-06,121.429477,21.429477000000006,4.607500000000002e-08,42.33112230926683,0.3979096999999996,0.3979096999999996,0.167551282,1.0020903000000003,0,100,10,5,0,2,8,8,8,5n,1,4n,8,25
5.384870268512269e-06,6.112007104069648e-07,6.753093250677374e-07,5.996070978919234e-06,6.671380303986971e-06,123.336041,23.336040999999994,4.222500000000005e-08,35.19361507922414,-1.6079274733,-1.6079274733,-1.85995954,3.0079274732999997,0,100,10,5,-2,2,8,8,8,5n,1,4n,8,25
3.895604457465131e-06,6.348410498227943e-07,6.250512519293211e-07,4.530445507287926e-06,5.155496759217247e-06,122.394731,22.394730999999993,3.9576420000000025e-08,42.54839536760171,0.8469757000000016,0.8469757000000016,0.196229895,0.5530242999999984,0,100,10,5,0,2,8,8,8,10n,0,4n,8,25
5.131342032590312e-06,6.092012983353802e-07,6.479330537408704e-07,5.7405433309256924e-06,6.388476384666563e-06,123.596472,23.596472000000002,4.517499999999995e-08,36.45812213799064,-1.167170371,-1.167170371,-1.77255876,2.567170371,0,100,10,5,-2,2,8,8,8,10n,0,4n,8,25
4.018884070240959e-06,6.365147372007331e-07,6.365675706379962e-07,4.655398807441692e-06,5.291966378079688e-06,122.110782,22.110782,3.972500000000007e-08,42.47185435547915,0.3520144000000016,0.3520144000000016,0.0993272022,1.0479855999999983,0,100,10,5,0,2,8,8,8,10n,1,4n,8,25
5.367204446212088e-06,6.099431468621421e-07,6.588815878951842e-07,5.97714759307423e-06,6.636029180969414e-06,123.484251,23.484251,4.2075000000000143e-08,36.233206989432226,-1.6086836765,-1.6086836765,-1.89065504,3.0086836765,0,100,10,5,-2,2,8,8,8,10n,1,4n,8,25
3.906109512277986e-06,6.347592682715083e-07,6.195406232589032e-07,4.540868780549494e-06,5.160409403808397e-06,122.394731,22.394730999999993,4.600655000000011e-08,43.19588912616849,0.8474257999999963,0.8474257999999963,0.152288652,0.5525742000000036,0,100,10,5,0,2,8,8,8,15n,0,4n,8,25
5.1650472009419724e-06,6.097765500585881e-07,6.451833486374691e-07,5.77482375100056e-06,6.420007099638029e-06,123.596472,23.596472000000002,4.546744000000008e-08,37.11980805389364,-1.1643330200000002,-1.1643330200000002,-1.85944836,2.5643330200000003,0,100,10,5,-2,2,8,8,8,15n,0,4n,8,25
3.984253422662194e-06,6.371149674621035e-07,6.319057342673826e-07,4.621368390124297e-06,5.25327412439168e-06,122.110782,22.110782,4.302386e-08,42.912829173284685,0.43451439999999764,0.43451439999999764,0.0706065503,0.9654856000000023,0,100,10,5,0,2,8,8,8,15n,1,4n,8,25
5.331130697535721e-06,6.118321696674099e-07,6.556484175400667e-07,5.942962867203131e-06,6.598611284743197e-06,123.484251,23.484251,4.2325000000000056e-08,36.79251222958305,-1.6151966,-1.6151966,-1.93323987,3.0151966,0,100,10,5,-2,2,8,8,8,15n,1,4n,8,25
3.901953301897486e-06,6.344374620246156e-07,6.39189764072304e-07,4.536390763922101e-06,5.175580527994405e-06,122.394731,22.394730999999993,4.610585000000012e-08,42.912064495750364,0.847303299999993,0.847303299999993,0.0903611226,0.5526967000000069,0,100,10,5,0,2,8,8,8,25n,0,4n,8,25
5.158089323902926e-06,6.099231064419046e-07,1.5457146182186516e-06,5.7680124303448306e-06,7.313727048563482e-06,123.596472,23.596472000000002,4.550808999999994e-08,36.652114126171455,-1.164310405,-1.164310405,-1.9196794,2.5643104049999996,0,100,10,5,-2,2,8,8,8,25n,0,4n,8,25
3.9935937505164645e-06,6.372381354601211e-07,6.223060842155616e-07,4.630831885976586e-06,5.253137970192148e-06,122.110782,22.110782,3.9724820000000055e-08,42.555760857443616,0.4042120000000011,0.4042120000000011,0.0327216705,0.9957879999999988,0,100,10,5,0,2,8,8,8,25n,1,4n,8,25
