dev,VBUS,ILOAD,TJ,NPU_LS,NPD_LS,NPD_HS,DT,CLKEN,VNEG,E_tot,ov_pct,margin,Vgs_spur_hs
0,200,2,125,3,8,1,35n,0,-2,9.59033576128444e-06,3.3903985000000034,0.02887309999999843,1.2211269000000016
0,50,2,25,6,8,4,35n,0,0,6.281403815955805e-07,6.695662600000005,-0.32235250999999865,1.7223525099999986
0,100,10,25,6,8,4,35n,0,0,4.657951860489963e-06,22.722967999999995,-0.6229433000000015,2.0229433000000014
0,200,10,125,6,8,4,35n,0,0,1.2889354103608823e-05,6.171691999999994,-0.9739570000000128,2.223957000000013
0,200,2,125,6,8,4,35n,0,0,7.798612527066981e-06,2.4689314999999965,-1.00848400000001,2.25848400000001
0,50,2,25,8,2,8,5n,0,-2,5.384529818690848e-07,102.46456599999999,0.4080242879999999,-0.5055267320000001
0,100,10,25,8,2,8,5n,0,-2,4.812391701863161e-06,33.15561700000001,0.30097432999999985,-0.12977120000000042
0,200,10,125,8,2,8,5n,0,-2,1.4997744279841497e-05,29.656261,-0.015110050000000097,0.028185000000007676
0,200,2,125,8,2,8,5n,0,-2,7.276450854577115e-06,17.777659999999997,-1.22040111,-0.23843500000000972
0,50,2,25,8,8,8,5n,1,0,4.524968952666402e-07,71.47357120000001,0.7781931700000002,0.6218068299999997
0,100,10,25,8,8,8,5n,1,0,3.966123619212485e-06,21.770083,0.5305205999999969,0.869479400000003
0,200,10,125,8,8,8,5n,1,0,0.0001820523895160401,172.26811550000002,-1.922739,3.172739
0,200,2,125,8,8,8,5n,1,0,0.00016487145979908704,167.378331,-1.6454823999999988,2.895482399999999
0,50,2,25,8,8,4,10n,0,-2,7.691062458136546e-07,5.907676600000002,1.515527,-0.11552700000000005
0,100,10,25,8,8,4,10n,0,-2,4.957820780968401e-06,23.806942000000006,0.9618203000000007,0.4381796999999992
0,200,10,125,8,8,4,10n,0,-2,1.5173039384252834e-05,6.299899999999993,0.42631399999999076,0.8236860000000092
0,200,2,125,8,8,4,10n,0,-2,8.973760122157283e-06,24.7011215,0.6056749999999909,0.6443250000000091
0,50,2,25,3,8,1,10n,1,0,7.926504595145579e-07,8.747817400000002,0.8935227529999998,0.5064772470000001
0,100,10,25,3,8,1,10n,1,0,4.668796688665644e-06,22.409543,0.7333044000000029,0.6666955999999971
0,200,10,125,3,8,1,10n,1,0,1.4661802575269238e-05,5.345276999999997,0.6704019999999957,0.5795980000000043
0,200,2,125,3,8,1,10n,1,0,7.72485538475945e-06,25.0859825,0.583825909,0.6430139999999938
0,50,2,25,3,8,1,15n,1,-2,1.1019386755567643e-06,7.959012599999994,2.576687543,-1.176687543
0,100,10,25,3,8,1,15n,1,-2,5.920496346613122e-06,23.638319999999993,2.660178679,-1.260178679
0,200,10,125,3,8,1,15n,1,-2,1.7546973966865842e-05,6.050447000000006,2.6119379999999808,-1.3619379999999808
0,200,2,125,3,8,1,15n,1,-2,9.683840587332688e-06,3.114767999999998,2.622297000000003,-1.3722970000000032
0,50,2,25,2,8,8,15n,0,0,9.350335194578745e-07,5.8667528,0.5936686999999998,0.8063313000000001
0,100,10,25,2,8,8,15n,0,0,5.154298193879908e-06,22.598139,0.6205244000000021,0.7794755999999978
0,200,10,125,2,8,8,15n,0,0,1.559404039608504e-05,5.741888000000004,0.4711650000000134,0.7788349999999866
0,200,2,125,2,8,8,15n,0,0,8.088840693989824e-06,4.830920000000006,0.44123100000001614,0.8087689999999839
0,50,2,25,3,8,8,25n,0,0,8.173155703682756e-07,5.9957160000000025,0.48458780000000123,0.9154121999999987
0,100,10,25,3,8,8,25n,0,0,4.726217539535834e-06,22.598099000000005,0.38503989999999666,1.0149601000000033
0,200,10,125,3,8,8,25n,0,0,1.4289882663496902e-05,5.742841499999997,0.20211499999999205,1.047885000000008
0,200,2,125,3,8,8,25n,0,0,7.9435179988396e-06,2.292869499999995,0.1794749999999965,1.0705250000000035
0,50,2,25,6,8,1,25n,1,-2,8.331785234076683e-07,10.1719662,2.370626373,-0.9706263729999999
0,100,10,25,6,8,1,25n,1,-2,6.1709000086005986e-06,23.638356,2.43134,-1.0313400000000001
0,200,10,125,6,8,1,25n,1,-2,1.5943476927072023e-05,6.051191000000004,2.190640000000002,-0.9406400000000019
0,200,2,125,6,8,1,25n,1,-2,9.406966810937372e-06,2.8524605000000065,2.2303839999999866,-0.9803839999999866
0,50,2,25,8,8,4,35n,1,-2,7.360023400827458e-07,10.145015200000003,2.3964202528,-0.9964202528
