t_us,vout_closed,vout_open,iout,vin
681.1703,50.4471,49.5834,5.7666,100.000
681.5454,50.4445,49.5853,4.9035,100.000
681.9205,50.4421,49.5872,4.0416,100.000
682.2956,50.4360,49.5922,4.4341,100.000
682.6707,50.4337,49.5939,5.2531,100.000
683.0458,50.4314,49.5968,6.0646,100.000
683.4209,50.4266,49.5996,5.2075,100.000
683.7959,50.4245,49.6021,4.3455,100.000
684.1710,50.4190,49.6077,4.1664,100.000
684.5461,50.4167,49.6092,4.9876,100.000
684.9212,50.4144,49.6103,5.8032,100.000
685.2963,50.4098,49.6141,5.4939,100.000
685.6714,50.4077,49.6158,4.6317,100.000
686.0465,50.4025,49.6203,3.8968,100.000
686.4216,50.4004,49.6221,4.7204,100.000
686.7967,50.3982,49.6238,5.5381,100.000
687.1718,50.3939,49.6271,5.7827,100.000
687.5469,50.3918,49.6288,4.9205,100.000
687.9220,50.3895,49.6308,4.0595,100.000
688.2971,50.3839,49.6345,4.4514,100.000
688.6722,50.3818,49.6351,5.2712,100.000
689.0473,50.3796,49.6365,6.0717,100.000
689.4224,50.3759,49.6380,5.2089,100.000
689.7974,50.3746,49.6394,4.3477,100.000
690.1725,50.3706,49.6423,4.1813,100.000
690.5476,50.3689,49.6429,5.0032,100.000
690.9227,50.3673,49.6431,5.8196,100.000
691.2978,50.3630,49.6450,5.4854,100.000
691.6729,50.3607,49.6459,4.6241,100.000
692.0480,50.3545,49.6480,3.9065,100.000
692.4231,50.3533,49.6483,4.7308,100.000
692.7982,50.3527,49.6480,5.5493,100.000
693.1733,50.3493,49.6493,5.7796,100.000
693.5484,50.3471,49.6505,4.9182,100.000
693.9235,50.3443,49.6523,4.0579,100.000
694.2986,50.3389,49.6555,4.4594,100.000
694.6737,50.3374,49.6563,5.2799,100.000
695.0488,50.3357,49.6577,6.0576,100.000
695.4239,50.3317,49.6588,5.1960,100.000
695.7989,50.3296,49.6598,4.3355,100.000
696.1740,50.3245,49.6620,4.1716,100.000
696.5491,50.3233,49.6626,4.9943,100.000
696.9242,50.3230,49.6631,5.8115,100.000
697.2993,50.3185,49.6646,5.4798,100.000
697.6744,50.3155,49.6654,4.6192,100.000
698.0495,50.3078,49.6675,3.8956,100.000
698.4246,50.3063,49.6681,4.7208,100.000
698.7997,50.3051,49.6685,5.5401,100.000
699.1748,50.3018,49.6698,5.7799,100.000
699.5499,50.3000,49.6705,4.9192,100.000
699.9250,50.2982,49.6713,4.0598,100.000
700.3001,50.2944,49.6729,4.4676,100.000
700.6752,50.2947,49.6734,5.2888,100.000
701.0503,50.2951,49.6744,6.0703,100.000
701.4254,50.2918,49.6752,5.2092,100.000
701.8005,50.2890,49.6758,4.3495,100.000
702.1755,50.2841,49.6774,4.2061,100.000
702.5506,50.2840,49.6779,5.0293,100.000
702.9257,50.2851,49.6783,5.8470,100.000
703.3008,50.2822,49.6794,5.4949,100.000
703.6759,50.2797,49.6802,4.6350,100.000
704.0510,50.2738,49.6820,3.9214,100.000
704.4261,50.2717,49.6821,4.7471,100.000
704.8012,50.2688,49.6817,5.5668,100.000
705.1763,50.2657,49.6822,5.7803,100.000
705.5514,50.2646,49.6828,4.9202,100.000
705.9265,50.2639,49.6840,4.0613,100.000
706.3016,50.2617,49.6852,4.4825,100.000
706.6767,50.2623,49.6848,5.3042,100.000
707.0518,50.2624,49.6847,6.0590,100.000
707.4269,50.2594,49.6852,5.1989,100.000
707.8020,50.2562,49.6862,4.3397,100.000
708.1770,50.2501,49.6876,4.1983,100.000
708.5521,50.2502,49.6875,5.0221,100.000
708.9272,50.2515,49.6871,5.8404,100.000
709.3023,50.2481,49.6875,5.4789,100.000
709.6774,50.2453,49.6879,4.6195,100.000
710.0525,50.2384,49.6888,3.9216,100.000
710.4276,50.2374,49.6885,4.7478,100.000
710.8027,50.2368,49.6878,5.5681,100.000
711.1778,50.2345,49.6876,5.7824,100.000
711.5529,50.2334,49.6879,4.9229,100.000
711.9280,50.2324,49.6888,4.0646,100.000
712.3031,50.2297,49.6893,4.4808,100.000
712.6782,50.2291,49.6888,5.3030,100.000
713.0533,50.2283,49.6883,6.0656,100.000
713.4284,50.2260,49.6883,5.2060,100.000
713.8035,50.2239,49.6887,4.3474,100.000
714.1785,50.2199,49.6889,4.2179,100.000
714.5536,50.2203,49.6885,5.0421,100.000
714.9287,50.2220,49.6878,5.8607,100.000
715.3038,50.2194,49.6875,5.4856,100.000
715.6789,50.2171,49.6875,4.6268,100.000
716.0540,50.2115,49.6872,3.9260,100.000
