E_on,E_off,E_dt,Vds_pk_off,ov_pct_off,E_sw,E_tot,Vds_pk,ov_pct,t_set,E_osc,Vgs_spur,Vgs_spur_hs,Vgs_spur_ls,margin,false_on,VBUS,ILOAD,VDRV,VNEG,NPU_LS,NPD_LS,NPU_HS,NPD_HS,DT,CLKEN,CLKDEL,RUNIT,TJ,corner
1.047596331173301e-06,2.0915758241265417e-07,2.942503524844361e-07,55.3338516,10.667703200000005,1.2567539135859554e-06,1.5510042660703915e-06,55.3338516,10.667703200000005,3.012171999999995e-08,12.897783895662547,-1.4212775999999998,-1.4212775999999998,-1.98002546,2.8212775999999997,0,50,2,5,-2,1,2,8,8,25n,0,4n,8,25,50V_2A_25C
1.043309298040918e-06,2.1555311630504957e-07,2.834743856348746e-07,55.3338516,10.667703200000005,1.2588624143459674e-06,1.542336799980842e-06,55.3338516,10.667703200000005,4.006108000000011e-08,12.368594992907386,-1.4204825999999997,-1.4204825999999997,-1.97759601,2.8204825999999996,0,50,2,5,-2,1,2,8,8,35n,0,4n,8,25,50V_2A_25C
6.805529319037986e-07,2.1448245828455124e-07,2.596906116176508e-07,53.0405675,6.081135000000004,8.950353901883498e-07,1.1547260018060007e-06,53.0405675,6.081135000000004,2.5647190000000098e-08,12.47134327730372,0.7943719000000016,0.7943719000000016,0.0125948168,0.6056280999999983,0,50,2,5,0,1,2,8,8,25n,0,4n,8,25,50V_2A_25C
2.1972353508365575e-07,2.1097320349496104e-07,2.014609126829185e-07,53.1004147,6.2008294000000035,4.3069673857861677e-07,6.321576512615353e-07,53.1065021,6.2130042,1.615218000000012e-08,11.779991338518931,3.8314422399999994,3.8314422399999994,0.0103294907,-2.4314422399999995,1,50,2,5,0,8,8,8,1,15n,0,4n,8,25,50V_2A_25C
1.5912852694439702e-07,2.1080619944416615e-07,2.3755095637498798e-07,53.0017724,6.003544799999999,3.6993472638856315e-07,6.074856827635511e-07,53.0046175,6.009235000000003,1.5812000000000036e-08,11.746807586943076,2.0417036499999996,2.0417036499999996,0.00960276643,-0.6417036499999997,1,50,2,5,0,8,8,8,4,15n,0,4n,8,25,50V_2A_25C
1.5931970735654414e-07,2.1066157433466163e-07,2.444068502084922e-07,52.9576556,5.915311200000006,3.699812816912058e-07,6.14388131899698e-07,52.9576556,5.915311200000006,1.562411999999994e-08,11.73292777758712,1.25636862,1.25636862,0.00913036573,0.14363137999999998,0,50,2,5,0,8,8,8,8,15n,0,4n,8,25,50V_2A_25C
3.762835163686732e-07,2.649773568495523e-07,9.636232661371578e-08,12.0141104,-75.9717792,6.412608732182255e-07,7.376231998319413e-07,81.5419986,63.08399719999999,6.10050100000001e-08,22.895602033119243,1.66539824,1.0635028999999996,1.66539824,-0.3403982400000001,1,50,2,5,0,4,2,8,8,10n,0,4n,8,75,50V_2A_75C
2.4660015809507144e-07,3.837095336436478e-07,5.349818167586888e-09,0.554463748,-98.89107250399998,6.303096917387193e-07,6.356595099063062e-07,105.521973,111.04394599999999,6.019544000000005e-08,29.759388416236586,0.904895791,0.5135063199999994,0.904895791,0.420104209,0,50,2,5,0,8,2,8,4,5n,1,4n,8,75,50V_2A_75C
4.5494175820731824e-07,2.148794425594584e-07,1.9949294066465086e-07,30.4775172,-39.0449656,6.698212007667766e-07,8.693141414314275e-07,64.7796345,29.559269,4.8755000000000095e-08,15.076197386388312,-0.5247135700000012,-0.5247135700000012,-1.17083022,1.8497135700000011,0,50,2,5,-2,8,2,8,4,10n,0,4n,8,75,50V_2A_75C
2.3170245543233242e-07,3.83712409092124e-07,1.009482774341132e-08,0.554463979,-98.89107204199999,6.154148645244564e-07,6.255096922678677e-07,105.521556,111.04311200000001,6.019523999999996e-08,29.759367655985344,0.904894996,0.6129936799999989,0.904894996,0.42010500399999995,0,50,2,5,0,8,2,8,8,5n,1,4n,8,75,50V_2A_75C
