E_on,E_off,E_dt,Vds_pk_off,ov_pct_off,E_sw,E_tot,Vds_pk,ov_pct,t_set,E_osc,Vgs_spur,Vgs_spur_hs,Vgs_spur_ls,margin,false_on,VBUS,ILOAD,VDRV,VNEG,NPU_LS,NPD_LS,NPU_HS,NPD_HS,DT,CLKEN,CLKDEL,RUNIT,TJ,corner
1.0566610389319748e-06,2.1274796669937097e-07,2.011800509827321e-07,30.5347906,-38.9304188,1.2694090056313458e-06,1.4705890566140778e-06,64.6860505,29.372100999999983,4.880506e-08,15.11011609357906,-1.7365837819999999,-1.7365837819999999,-1.85762656,3.1365837819999998,0,50,2,5,-2,1,2,8,4,10n,1,4n,8,25,50V_2A_25C
6.808566365448764e-07,2.137952788863129e-07,2.3351034396669496e-07,42.6573809,-14.6852382,8.946519154311894e-07,1.1281622593978843e-06,54.8866013,9.773202600000005,2.9760520000000056e-08,12.53721023402762,1.4177637999999995,1.4177637999999995,0.426611331,-0.017763799999999552,1,50,2,5,0,1,2,8,4,15n,0,4n,8,25,50V_2A_25C
1.0290486616062412e-06,2.1228228624731499e-07,2.877930160916242e-07,52.7326761,5.465352199999997,1.2413309478535562e-06,1.5291239639451805e-06,53.0474359,6.094871800000008,1.6054930000000137e-08,12.692218296857394,-0.8315660999999999,-0.8315660999999999,-1.84607715,2.2315660999999998,0,50,2,5,-2,1,2,8,4,15n,0,4n,8,25,50V_2A_25C
6.857233682703175e-07,2.111658010464463e-07,2.469043993551248e-07,51.080506,2.1610119999999995,8.968891693167638e-07,1.1437935686718885e-06,52.4374391,4.874878199999998,1.3773410000000085e-08,12.764404659328221,0.31572690000000136,0.31572690000000136,0.0118296987,1.0842730999999985,0,50,2,5,0,1,2,8,4,15n,1,4n,8,25,50V_2A_25C
1.041313020533811e-06,2.1031460218771012e-07,2.861766356987788e-07,53.0771228,6.154245599999996,1.2516276227215211e-06,1.5378042584203e-06,53.3108002,6.6216004000000055,1.605487000000013e-08,12.712029338379423,-1.7365374569999998,-1.7365374569999998,-1.99002215,3.1365374569999998,0,50,2,5,-2,1,2,8,4,15n,1,4n,8,25,50V_2A_25C
7.13219980198094e-07,1.7747380439989392e-06,3.1083122811794187e-09,0.175718986,-99.648562028,2.4879580241970333e-06,2.491066336478213e-06,84.4270456,68.8540912,5.388486999999999e-08,24.864860173794902,3.82341023,1.4014756999999989,3.82341023,-2.42341023,1,50,2,5,0,1,2,8,4,5n,0,4n,8,25,50V_2A_25C
1.0895453399604648e-06,2.3161397747550568e-07,1.2953249567741574e-08,2.57925358,-94.84149283999999,1.3211593174359705e-06,1.3341125670037121e-06,103.343555,106.68710999999999,6.441242999999995e-08,34.915231942632865,1.16058162,-0.919679900000002,1.16058162,0.23941837999999982,0,50,2,5,-2,1,2,8,4,5n,0,4n,8,25,50V_2A_25C
6.972134182276332e-07,4.233284476270173e-07,5.3501632810337535e-09,0.502689105,-98.99462179,1.1205418658546506e-06,1.1258920291356844e-06,107.664357,115.328714,6.019621000000009e-08,29.566263219894868,0.909682524,0.3563845999999984,0.909682524,0.49031747599999986,0,50,2,5,0,1,2,8,4,5n,1,4n,8,25,50V_2A_25C
1.0732183562072843e-06,2.2908289291529464e-07,1.1076696865868488e-08,3.13281554,-93.73436892,1.3023012491225788e-06,1.3133779459884474e-06,102.669389,105.33877799999999,6.441071000000007e-08,34.380762846399065,-1.19490808,-1.7390566279999997,-1.19490808,2.5949080799999997,0,50,2,5,-2,1,2,8,4,5n,1,4n,8,25,50V_2A_25C
6.806115892668682e-07,2.1430465237672518e-07,2.512959291071885e-07,53.3857779,6.771555800000001,8.949162416435934e-07,1.1462121707507819e-06,53.3857779,6.771555800000001,2.5605050000000125e-08,12.488688202596094,1.4185148999999981,1.4185148999999981,0.0121567322,-0.018514899999998224,1,50,2,5,0,1,2,8,4,25n,0,4n,8,25,50V_2A_25C
1.0396932797234337e-06,2.0917740270737285e-07,2.868004472430676e-07,55.4816501,10.963300200000006,1.2488706824308066e-06,1.5356711296738742e-06,55.4816501,10.963300200000006,3.007611000000009e-08,12.901253119973848,-0.8311250999999977,-0.8311250999999977,-1.98021359,2.2311250999999976,0,50,2,5,-2,1,2,8,4,25n,0,4n,8,25,50V_2A_25C
6.84553097201969e-07,2.0961200408900003e-07,2.4419904902115155e-07,53.2604739,6.520947800000001,8.941651012909689e-07,1.1383641503121204e-06,53.2604739,6.520947800000001,2.487341000000007e-08,12.93930983597229,0.3209546000000003,0.3209546000000003,0.00446598944,1.0790453999999996,0,50,2,5,0,1,2,8,4,25n,1,4n,8,25,50V_2A_25C
1.0576710032120054e-06,2.0716934447612113e-07,2.8696022670833024e-07,55.4498609,10.899721799999995,1.2648403476881265e-06,1.5518005743964566e-06,55.4498609,10.899721799999995,3.012142000000013e-08,12.909997143624613,-1.7363585959999999,-1.7363585959999999,-1.98684198,3.136358596,0,50,2,5,-2,1,2,8,4,25n,1,4n,8,25,50V_2A_25C
