 3.06009300e-09 -3.07071731e-01  3.06009300e-09 -3.07071731e-01  3.06009300e-09  3.30664593e+00  3.06009300e-09 -2.08239743e+00  3.06009300e-09  1.04138430e+02  3.06009300e-09  3.47077487e+00  3.06009300e-09 -6.53001392e+00 
 3.11009300e-09 -1.54173679e-01  3.11009300e-09 -1.54173679e-01  3.11009300e-09  3.43733059e+00  3.11009300e-09 -1.91725837e+00  3.11009300e-09  1.00653398e+02  3.11009300e-09  3.46353632e+00  3.11009300e-09 -6.53727759e+00 
 3.16009300e-09  5.46511607e-04  3.16009300e-09  5.46511607e-04  3.16009300e-09  3.57130452e+00  3.16009300e-09 -1.75140768e+00  3.16009300e-09  9.72507163e+01  3.16009300e-09  3.51358839e+00  3.16009300e-09 -6.48725056e+00 
 3.21009300e-09  1.55328085e-01  3.21009300e-09  1.55328085e-01  3.21009300e-09  3.70723976e+00  3.21009300e-09 -1.58687425e+00  3.21009300e-09  9.39577397e+01  3.21009300e-09  3.61904888e+00  3.21009300e-09 -6.38181503e+00 
 3.26009300e-09  3.08611436e-01  3.26009300e-09  3.08611436e-01  3.26009300e-09  3.84385791e+00  3.26009300e-09 -1.42546495e+00  3.26009300e-09  9.07985950e+01  3.26009300e-09  3.77761703e+00  3.26009300e-09 -6.22327176e+00 
 3.31009300e-09  4.59072279e-01  3.31009300e-09  4.59072279e-01  3.31009300e-09  3.97995122e+00  3.31009300e-09 -1.26872321e+00  3.31009300e-09  8.77942587e+01  3.31009300e-09  3.98662861e+00  3.31009300e-09 -6.01428499e+00 
 3.36009300e-09  6.05441089e-01  3.36009300e-09  6.05441089e-01  3.36009300e-09  4.11439198e+00  3.36009300e-09 -1.11810350e+00  3.36009300e-09  8.49624290e+01  3.36009300e-09  4.24311123e+00  3.36009300e-09 -5.75782711e+00 
 3.41009300e-09  7.46612928e-01  3.41009300e-09  7.46612928e-01  3.41009300e-09  4.24613621e+00  3.41009300e-09 -9.74856755e-01  3.41009300e-09  8.23178232e+01  3.41009300e-09  4.54383783e+00  3.41009300e-09 -5.45712516e+00 
 3.46009300e-09  8.81626281e-01  3.46009300e-09  8.81626281e-01  3.46009300e-09  4.37423071e+00  3.46009300e-09 -8.40048418e-01  3.46009300e-09  7.98723882e+01  3.46009300e-09  4.88537584e+00  3.46009300e-09 -5.11561175e+00 
 3.51009300e-09  1.00965122e+00  3.51009300e-09  1.00965122e+00  3.51009300e-09  4.49781637e+00  3.51009300e-09 -7.14568644e-01  3.51009300e-09  7.76355632e+01  3.51009300e-09  5.26413200e+00  3.51009300e-09 -4.73688011e+00 
